Date,Open,High,Low,Close,Adj Close,Volume
2020-07-30,31.860001,32.320000,31.590000,32.049999,31.719999,49100
2020-07-31,31.840000,31.930000,31.040001,31.690001,31.363707,70800
2020-08-03,32.000000,32.009998,31.110001,31.750000,31.423090,39400
2020-08-04,31.520000,31.580000,31.110001,31.510000,31.185560,27300
2020-08-05,31.889999,32.000000,30.740000,30.750000,30.433386,74600
2020-08-06,30.860001,31.770000,30.860001,31.709999,31.383501,78400
2020-08-07,31.410000,33.570000,31.410000,33.520000,33.174866,49700
2020-08-10,33.689999,34.439999,33.599998,33.930000,33.580643,31100
2020-08-11,34.450001,35.160000,34.450001,34.770000,34.411995,59300
2020-08-12,35.160000,35.349998,34.849998,35.169998,34.807873,83300
2020-08-13,34.970001,34.970001,34.119999,34.369999,34.016113,50400
2020-08-14,34.040001,34.650002,33.750000,34.500000,34.144775,26400
2020-08-17,34.290001,34.639999,33.810001,34.139999,33.788479,21400
2020-08-18,33.990002,33.990002,32.959999,33.000000,32.660217,32000
2020-08-19,33.000000,33.709999,33.000000,33.189999,32.848263,29700
2020-08-20,32.700001,32.840000,32.500000,32.660000,32.323719,23200
2020-08-21,32.430000,32.619999,32.070000,32.439999,32.105984,37000
2020-08-24,32.740002,33.419998,32.230000,33.400002,33.056103,38200
2020-08-25,33.720001,33.759998,33.119999,33.560001,33.214455,24400
2020-08-26,33.560001,33.560001,32.490002,32.490002,32.155472,26600
2020-08-27,32.470001,33.490002,32.220001,33.330002,32.986824,30200
2020-08-28,33.689999,33.689999,33.029999,33.369999,33.026409,23500
2020-08-31,33.230000,33.310001,32.650002,32.660000,32.323719,42200
2020-09-01,32.520000,32.910000,32.259998,32.549999,32.214851,27700
2020-09-02,32.509998,32.799999,32.310001,32.599998,32.264336,35400
2020-09-03,32.480000,33.070000,32.480000,32.660000,32.323719,76800
2020-09-04,32.900002,33.189999,32.250000,32.869999,32.531555,62300
2020-09-08,32.590000,32.590000,31.120001,31.370001,31.047003,73400
2020-09-09,31.500000,31.730000,30.940001,31.209999,30.888649,55300
2020-09-10,31.209999,31.370001,30.510000,30.559999,30.245342,50800
2020-09-11,30.879999,31.620001,30.090000,30.299999,29.988018,53100
2020-09-14,30.420000,31.320000,30.299999,31.190001,30.868856,53400
2020-09-15,31.280001,31.280001,30.209999,30.290001,29.978123,24800
2020-09-16,30.320000,31.059999,30.010000,30.520000,30.205753,39400
2020-09-17,30.139999,30.610001,30.139999,30.389999,30.077091,29200
2020-09-18,30.809999,30.840000,30.000000,30.770000,30.453180,146600
2020-09-21,29.940001,30.370001,28.750000,29.040001,28.740993,73300
2020-09-22,29.110001,29.700001,28.559999,28.940001,28.642023,42100
2020-09-23,28.959999,29.520000,28.320000,28.360001,28.067995,48500
2020-09-24,28.389999,29.530001,28.320000,29.209999,28.909241,50100
2020-09-25,28.920000,29.549999,28.920000,29.299999,28.998314,42000
2020-09-28,29.719999,30.570000,29.719999,30.209999,29.898945,31400
2020-09-29,29.990000,30.370001,29.459999,30.110001,29.799976,31700
2020-09-30,30.209999,30.559999,29.959999,30.230000,29.918739,45400
2020-10-01,30.139999,30.299999,29.760000,30.299999,29.988018,39800
2020-10-02,29.940001,31.190001,29.879999,31.049999,30.730295,27800
2020-10-05,31.360001,32.049999,31.360001,32.020000,31.690310,28800
2020-10-06,32.490002,33.020000,31.030001,31.889999,31.561647,37000
2020-10-07,32.349998,32.790001,32.240002,32.630001,32.294029,36600
2020-10-08,33.110001,33.230000,32.599998,33.040001,32.699806,33700
2020-10-09,33.430000,33.430000,32.500000,32.520000,32.185162,37600
2020-10-12,32.520000,32.799999,32.279999,32.720001,32.383102,54800
2020-10-13,32.650002,32.650002,31.850000,32.049999,31.719999,34300
2020-10-14,31.559999,31.900000,30.910000,30.990000,30.990000,22500
2020-10-15,30.389999,32.009998,30.389999,31.910000,31.910000,30300
2020-10-16,31.750000,32.209999,31.500000,32.040001,32.040001,25800
2020-10-19,32.230000,32.230000,31.530001,31.549999,31.549999,24700
2020-10-20,31.940001,32.430000,31.740000,32.049999,32.049999,19300
2020-10-21,31.870001,32.490002,31.870001,32.349998,32.349998,20200
2020-10-22,32.299999,33.540001,32.299999,33.480000,33.480000,34200
2020-10-23,33.689999,33.880001,33.009998,33.459999,33.459999,23300
2020-10-26,32.880001,33.070000,32.549999,32.959999,32.959999,30500
2020-10-27,33.930000,33.939999,31.830000,31.959999,31.959999,33400
2020-10-28,31.430000,32.220001,31.070000,31.090000,31.090000,40800
2020-10-29,31.059999,31.910000,30.700001,31.830000,31.830000,33100
2020-10-30,31.730000,32.360001,31.730000,31.969999,31.969999,44300
2020-11-02,32.310001,32.779999,32.310001,32.720001,32.720001,32100
2020-11-03,33.200001,33.790001,33.160000,33.720001,33.720001,66600
2020-11-04,33.119999,33.119999,31.070000,31.540001,31.540001,57500
2020-11-05,31.530001,32.840000,31.530001,32.799999,32.799999,32300
2020-11-06,33.189999,33.189999,31.830000,31.879999,31.879999,54300
2020-11-09,34.259998,37.380001,33.099998,35.490002,35.490002,93000
2020-11-10,36.139999,37.189999,35.919998,36.919998,36.919998,53900
2020-11-11,37.240002,37.240002,35.299999,35.919998,35.919998,26400
2020-11-12,35.340000,35.340000,34.209999,34.709999,34.709999,24900
2020-11-13,35.150002,35.730000,35.029999,35.400002,35.400002,22500
2020-11-16,36.389999,36.970001,36.259998,36.860001,36.860001,36200
2020-11-17,35.970001,36.959999,35.790001,36.759998,36.759998,28800
2020-11-18,38.139999,38.139999,35.889999,35.900002,35.900002,24800
2020-11-19,35.720001,36.169998,35.410000,36.080002,36.080002,22300
2020-11-20,35.669998,35.919998,35.240002,35.860001,35.860001,21400
2020-11-23,36.830002,36.830002,35.910000,36.110001,36.110001,23900
2020-11-24,37.889999,38.000000,36.529999,37.849998,37.849998,65400
2020-11-25,37.389999,37.439999,36.400002,36.810001,36.810001,23900
2020-11-27,36.799999,37.700001,35.400002,35.759998,35.759998,16500
2020-11-30,35.619999,35.810001,34.330002,34.349998,34.349998,43900
2020-12-01,35.279999,35.790001,34.669998,35.160000,35.160000,37900
2020-12-02,35.200001,36.259998,34.970001,35.799999,35.799999,32800
2020-12-03,35.860001,36.189999,35.580002,35.669998,35.669998,20500
2020-12-04,36.009998,36.700001,35.580002,36.660000,36.660000,49000
2020-12-07,36.220001,36.619999,36.099998,36.459999,36.459999,23400
